business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen
U001,200769623,WAL-MAR corp,2/11/2020 0:00,2020,1930438491,1/26/2020,20200125,20200126,20200210,USD,RV,1,,54273.28,20200126,NAH4,1930438491,0
U001,200980828,BEN E ,8/8/2019 0:00,2019,1929646410,7/22/2019,20190722,20190722,20190811,USD,RV,1,,79656.6,20190722,NAD1,1929646410,0
U001,200792734,MDV/ trust,12/30/2019 0:00,2019,1929873765,9/14/2019,20190914,20190914,20190929,USD,RV,1,,2253.86,20190914,NAA8,1929873765,0
CA02,140105686,SYSC llc,,2020,2960623488,3/30/2020,20200330,20200330,20200410,CAD,RV,1,,3299.7,20200331,CA10,2960623488,1
U001,200769623,WAL-MAR foundation,11/25/2019 0:00,2019,1930147974,11/13/2019,20191113,20191113,20191128,USD,RV,1,,33133.29,20191113,NAH4,1930147974,0
CA02,140106181,THE  corporation,12/4/2019 0:00,2019,2960581231,9/20/2019,20190920,20190920,20191004,CAD,RV,1,,22225.84,20190924,CA10,2960581231,0
U001,200769623,WAL-MAR in,11/12/2019 0:00,2019,1930083373,11/1/2019,20191031,20191101,20191116,USD,RV,1,,7358.49,20191101,NAH4,1930083373,0
U001,200744019,TARG us,,2020,1930659387,3/19/2020,20200318,20200319,20200403,USD,RV,1,,11173.02,20200319,NAA8,1930659387,1
U001,200769623,WAL-MAR corp,6/18/2019 0:00,2019,1929439637,6/7/2019,20190605,20190607,20190622,USD,RV,1,,15995.04,20190607,NAH4,1929439637,0
U001,200762301,C&S WH systems,3/6/2019 0:00,2019,1928819386,2/20/2019,20190219,20190220,20190307,USD,RV,1,,28.63,20190220,NAC6,1928819386,0
U001,200418007,AM ,,2020,1930610806,3/11/2020,20200306,20200311,20200326,USD,RV,1,,3525.59,20200311,NAA8,1930610806,1
U001,200743129,BROOKS co,1/22/2019 0:00,2019,1928550622,1/2/2019,20190102,20190102,20190117,USD,RV,1,,103147.37,20190102,NAA8,1928550622,0
U001,200186937,SYSC corporation,5/6/2019 0:00,2019,1929151655,4/15/2019,20190415,20190415,20190430,USD,RV,1,,16381.45,20190415,NAA8,1929151655,0
U001,200721222,GO corporation,11/1/2019 0:00,2019,1930022117,10/17/2019,20191017,20191017,20191101,USD,RV,1,,19581.57,20191017,NAA8,1930022117,0
U001,200739534,OK systems,,2020,1930788296,4/15/2020,20200415,20200415,20200430,USD,RV,1,,121105.65,20200415,NAA8,1930788296,1
U001,200353024,DECA corporation,,2020,1930817482,4/23/2020,20200423,20200423,20200426,USD,RV,1,,3726.06,20200416,NAM2,1930817482,1
U001,200794332,COST in,11/12/2019 0:00,2019,1930052739,10/25/2019,20191025,20191025,20191109,USD,RV,1,,5181.51,20191025,NAAX,1930052739,0
U001,200881076,ALBERT corp,12/17/2019 0:00,2019,1930209407,12/2/2019,20191202,20191202,20191217,USD,RV,1,,19082.14,20191202,NAA8,1930209407,0
U001,200769623,WAL-MAR trust,11/26/2019 0:00,2019,1930153511,11/15/2019,20191114,20191115,20191130,USD,RV,1,,12819.5,20191115,NAH4,1930153511,0
U001,200769623,WAL-MAR systems,2/5/2020 0:00,2020,1930438462,1/24/2020,20200124,20200124,20200208,USD,RV,1,,53349.54,20200124,NAH4,1930438462,0
U013,100053554,SYSTEMS systems,2/11/2020 0:00,2020,1991837617,1/11/2020,20200107,20200111,20200210,USD,RV,1,,5683.5,20200111,NAVE,1991837617,0
U001,200783734,FAREW us,9/4/2019 0:00,2019,1929773400,8/21/2019,20190822,20190821,20190905,USD,RV,1,,11845.19,20190821,NAA8,1929773400,0
U001,200744019,TARG associates,,2020,1930676042,3/21/2020,20200320,20200321,20200405,USD,RV,1,,5893.01,20200321,NAA8,1930676042,1
U001,100006311,QUALITY C ,7/30/2019 0:00,2019,1929626925,7/17/2019,20190717,20190717,20190801,USD,RV,1,,20079.58,20190717,NAA8,1929626925,0
U001,200769623,WAL-MAR co,2/4/2020 0:00,2020,1930431304,1/24/2020,20200123,20200124,20200208,USD,RV,1,,11307.78,20200124,NAH4,1930431304,0
CA02,140106408,WAL-M corp,,2020,2960618790,3/6/2020,20200306,20200306,20200316,CAD,RV,1,,92832.27,20200306,CA10,2960618790,1
U001,200769623,WAL-MAR foundation,1/30/2019 0:00,2019,1928620435,1/14/2019,20190114,20190114,20190129,USD,RV,1,,36188.11,20190114,NAH4,1928620435,0
U001,200337148,COAS llc,,2020,1930592246,3/2/2020,20200302,20200302,20200317,USD,RV,1,,11380.83,20200302,NAA8,1930592246,1
U001,200769623,WAL-MAR foundation,5/9/2019 0:00,2019,1929194820,4/23/2019,20190423,20190423,20190508,USD,RV,1,,412.09,20190423,NAH4,1929194820,0
CA02,140106408,WAL-M associates,5/6/2019 0:00,2019,2960542344,4/16/2019,20190416,20190416,20190426,CAD,RV,1,,48413.28,20190416,CA10,2960542344,0
U001,200750051,ALBER systems,5/3/2019 0:00,2019,1929170780,4/18/2019,20190418,20190418,20190503,USD,RV,1,,6023.53,20190418,NAA8,1929170780,0
U001,200721222,GO trust,10/7/2019 0:00,2019,1929907681,9/22/2019,20190921,20190922,20191007,USD,RV,1,,17307.51,20190922,NAA8,1929907681,0
U001,200769623,WAL-MAR in,9/23/2019 0:00,2019,1929847863,9/10/2019,20190909,20190910,20190925,USD,RV,1,,341.14,20190910,NAH4,1929847863,0
U001,200726979,BJ'S  systems,7/1/2019 0:00,2019,1929541405,6/15/2019,20190625,20190615,20190630,USD,RV,1,,365.87,20190615,NAA8,1929541405,0
U001,CCCA02,KRAFT  systems,8/30/2019 0:00,2019,1929535888,7/5/2019,20190701,20190705,20190809,USD,RV,1,,32751.88,20190705,NAG2,1929535888,0
U001,200794332,COST associates,,2020,1930731070,4/7/2020,20200401,20200407,20200422,USD,RV,1,,3863.93,20200407,NAAX,1930731070,1
U001,200700919,US  corp,2/13/2019 0:00,2019,1928656691,1/23/2019,20190121,20190123,20190212,USD,RV,1,,39221.31,20190123,NAD1,1928656691,0
U001,200794332,COST llc,,2020,1930803605,4/23/2020,20200420,20200423,20200508,USD,RV,1,,74453.01,20200423,NAAX,1930803605,1
U001,200769623,WAL-MAR corp,6/27/2019 0:00,2019,1929497308,6/17/2019,20190615,20190617,20190702,USD,RV,1,,46961.92,20190617,NAH4,1929497308,0
U001,200149567,RESER llc,7/19/2019 0:00,2019,1929433546,6/4/2019,20190604,20190604,20190719,USD,RV,1,,51641.33,20190604,NABG,1929433546,0
U001,200769623,WAL-MAR corp,11/19/2019 0:00,2019,1930130044,11/8/2019,20191108,20191108,20191123,USD,RV,1,,52187.72,20191108,NAH4,1930130044,0
U001,200769623,WAL-MAR associates,1/21/2020 0:00,2020,1930353067,1/4/2020,20200104,20200104,20200119,USD,RV,1,,4953.83,20200104,NAH4,1930353067,0
U001,200337148,COAS corporation,2/6/2020 0:00,2020,1930415312,1/22/2020,20200120,20200122,20200206,USD,RV,1,,54714.07,20200122,NAA8,1930415312,0
U001,200769623,WAL-MAR corp,3/4/2020 0:00,2020,1930555074,2/22/2020,20200222,20200222,20200308,USD,RV,1,,3228.13,20200222,NAH4,1930555074,0
CA02,CCU001,KRAFT  trust,5/31/2019 0:00,2019,2960541801,4/12/2019,20190412,20190412,20190519,CAD,RV,1,,31715.46,20190414,NAG2,2960541801,0
U001,200803720,DEC corp,,2020,1930698352,3/25/2020,20200325,20200325,20200408,USD,RV,1,,138.6,20200316,NAM4,1930698352,1
U001,200769623,WAL-MAR trust,4/26/2019 0:00,2019,1929141059,4/16/2019,20190414,20190416,20190501,USD,RV,1,,34565.51,20190416,NAH4,1929141059,0
U001,200759082,INGL in,8/23/2019 0:00,2019,1929722196,8/8/2019,20190808,20190808,20190823,USD,RV,1,,65353,20190808,NAA8,1929722196,0
U001,200769623,WAL-MAR corporation,2/27/2020 0:00,2020,1930532562,2/17/2020,20200216,20200217,20200303,USD,RV,1,,49723.89,20200217,NAH4,1930532562,0
U001,200769623,WAL-MAR us,1/29/2019 0:00,2019,1928638946,1/18/2019,20190117,20190118,20190202,USD,RV,1,,353.96,20190118,NAH4,1928638946,0
U001,200230690,DECA systems,5/10/2019 0:00,2019,1929274085,5/7/2019,20190507,20190507,20190511,USD,RV,1,,3435.96,20190501,NAM2,1929274085,0
U001,200794332,COST co,,2020,1930647189,3/13/2020,20200313,20200313,20200328,USD,RV,1,,32715.47,20200313,NAAX,1930647189,1
U001,200020431,DEC us,,2020,1930861637,5/6/2020,20200506,20200506,20200524,USD,RV,1,,174.72,20200501,NAM4,1930861637,1
U001,200769623,WAL-MAR ,8/5/2019 0:00,2019,1929656804,7/24/2019,20190724,20190724,20190808,USD,RV,1,,21418.85,20190724,NAH4,1929656804,0
U001,200701314,MBM  foundation,1/31/2020 0:00,2020,1930391457,1/15/2020,20200113,20200115,20200130,USD,RV,1,,12606.72,20200115,NAA8,1930391457,0
U001,200742791,QUI us,3/4/2020 0:00,2020,1930520098,2/18/2020,20200213,20200218,20200304,USD,RV,1,,25580.96,20200218,NAA8,1930520098,0
